text,category
lab test cost 3959,Health
purchase of skincare products - 14869,Shopping
monthly protein powder payment of 69,Personal Care
recharged my water bill with 11765,Utilities
haircut 556 rs,Personal Care
spent 3890 on udemy course,Education
"paid for maintenance fee, amount was 6227",Utilities
charity 878 inr,Others
purchase of video game - 907,Entertainment
paid 10282 for gas cylinder,Utilities
recharged my health insurance premium with 4089,Health
monthly bowling with friends payment of 790,Entertainment
bought printing for work for 884 rupees,Others
bought parking fee for 5795,Transport
recharged my maintenance fee with 3082,Utilities
udemy course cost 6665,Education
paid 73 rs for lunch,Food
spent 5354 on online course fee,Education
pastries 230 rs,Food
purchase of shampoo - 377,Personal Care
office stationery 249 inr,Others
purchase of phone recharge - 11585,Utilities
movie tickets cost 673,Entertainment
recharged my parking fee with 1854,Transport
monthly sunglasses payment of 3379,Shopping
"paid for pen and notebooks, amount was 8292",Education
just got mobile phone for 8747 rupees,Shopping
just got coursera specialization for 604,Education
monthly dental checkup payment of 4389,Health
recharged my lab test with 4823,Health
paid 926 for dental checkup,Health
purchase of water bill - 4980,Utilities
recharged my birthday gift with 967,Gifts & Donations
subscription service cost 14750,Utilities
bought school fees for 4114 inr,Education
just got DTH recharge for 7368 inr,Utilities
"paid for phone recharge, amount was 8652",Utilities
medicines cost 3213,Health
"paid for Spotify premium, amount was 714",Entertainment
monthly contribution to fundraiser payment of 116,Gifts & Donations
recharged my vegetables with 243,Food
"paid for school fees, amount was 4523",Education
gift for anniversary cost 150,Gifts & Donations
recharged my haircut with 732,Personal Care
Spotify premium cost 312,Entertainment
paid 161 rupees for lunch,Food
paid 416 for pizza,Food
recharged my birthday gift with 528,Gifts & Donations
bought pizza for 881 rupees,Food
purchase of medicines - 423,Health
donation to charity cost 523,Gifts & Donations
paid 763 rs for birthday gift,Gifts & Donations
"paid for gift for anniversary, amount was 83",Gifts & Donations
monthly cosmetics payment of 290,Personal Care
monthly bus ticket payment of 4226,Transport
purchase of contribution to fundraiser - 437,Gifts & Donations
spent 494 on gift for anniversary,Gifts & Donations
monthly soap payment of 248,Personal Care
"paid for Spotify premium, amount was 979",Entertainment
"paid for water bill, amount was 8386",Utilities
purchase of online course fee - 5046,Education
donation to charity 187 rs,Gifts & Donations
sports match ticket cost 471,Entertainment
spent 2116 on lab test,Health
spent 2643 on band-aids,Health
recharged my DTH recharge with 2753,Utilities
bought metro card recharge for 10751 rupees,Transport
"paid for medicines, amount was 3770",Health
health insurance premium 263 rupees,Health
"paid for dinner with friends, amount was 951",Food
recharged my book with 6224,Shopping
just got gift for 761,Shopping
"paid for sports match ticket, amount was 443",Entertainment
recharged my health insurance premium with 4044,Health
paid 173 for wedding present,Gifts & Donations
recharged my breakfast with 218,Food
recharged my pizza with 438,Food
paid 4450 rs for electricity bill,Utilities
movie tickets 198 rupees,Entertainment
coffee 866 rupees,Food
purchase of shampoo - 985,Personal Care
just got snacks for 910,Food
"paid for broadband payment, amount was 13258",Utilities
paid 3483 rupees for maintenance fee,Utilities
monthly birthday gift payment of 804,Gifts & Donations
bought DTH recharge for 14536 inr,Utilities
cosmetics 301,Personal Care
contribution to fundraiser cost 74,Gifts & Donations
monthly office stationery payment of 829,Others
haircut 982,Personal Care
spent 4271 on maintenance fee,Utilities
spent 2710 on hospital bill,Health
movie tickets 280,Entertainment
uber ride 1134 inr,Transport
just got concert tickets for 966 rs,Entertainment
"paid for watch, amount was 12111",Shopping
paid 692 rupees for donation to charity,Gifts & Donations
bought health insurance premium for 981 inr,Health
train ticket 1495 inr,Transport
purchase of laundry - 778,Others
train ticket 12420 inr,Transport
recharged my headphones with 11453,Shopping
monthly book payment of 13559,Shopping
just got train ticket for 12976 rupees,Transport
purchase of gym membership - 253,Personal Care
monthly pizza payment of 245,Food
paid 806 rs for cosmetics,Personal Care
spent 349 on lab test,Health
purchase of vegetables - 740,Food
paid 324 rupees for groceries,Food
recharged my watch with 5882,Shopping
just got maintenance fee for 4158,Utilities
purchase of health insurance premium - 4615,Health
"paid for auto rickshaw fare, amount was 12246",Transport
bought vegetables for 107 rupees,Food
spent 14430 on maintenance fee,Utilities
monthly subscription service payment of 336,Utilities
paid 696 for printing for work,Others
medicines 735 inr,Health
bought sports match ticket for 702,Entertainment
paid 384 rs for lunch,Food
spent 478 on salon visit,Personal Care
spent 118 on hospital bill,Health
spent 394 on gift for anniversary,Gifts & Donations
spent 2585 on vitamins,Health
bought gas cylinder for 12350,Utilities
recharged my vitamins with 3012,Health
"paid for running shoes, amount was 11865",Shopping
"paid for pet food, amount was 960",Others
"paid for subscription service, amount was 5305",Utilities
monthly phone recharge payment of 2993,Utilities
"paid for donation to charity, amount was 663",Gifts & Donations
purchase of medicines - 330,Health
bought game for 774 rs,Others
"paid for haircut, amount was 94",Personal Care
"paid for lunch, amount was 466",Food
paid 522 rupees for pizza,Food
spent 3529 on tuition payment,Education
purchase of soap - 299,Personal Care
bowling with friends cost 486,Entertainment
purchase of pet food - 70,Others
recharged my health insurance premium with 4309,Health
spent 773 on protein powder,Personal Care
furniture cost 2335,Shopping
just got video game for 479,Entertainment
spent 293 on maintenance,Others
recharged my Spotify premium with 823,Entertainment
purchase of band-aids - 2857,Health
game cost 615,Others
monthly parking fee payment of 5091,Transport
just got groceries for 537 rs,Food
laundry 729,Others
purchase of movie tickets - 579,Entertainment
purchase of medicines - 2483,Health
just got donation to charity for 396 rs,Gifts & Donations
just got shampoo for 695,Personal Care
spent 6206 on skincare products,Shopping
bought laundry for 335,Others
coursera specialization 5806 inr,Education
monthly furniture payment of 5808,Shopping
purchase of haircut - 347,Personal Care
recharged my game with 641,Others
monthly mobile phone payment of 1328,Shopping
monthly sunglasses payment of 3358,Shopping
just got subscription service for 6720 rs,Utilities
spent 2450 on maintenance fee,Utilities
spent 95 on gym membership,Personal Care
just got photocopy for 71,Others
monthly phone recharge payment of 14431,Utilities
monthly charity payment of 244,Others
just got jeans for 1102,Shopping
shampoo cost 232,Personal Care
bought flight ticket for 10844 rs,Transport
bought birthday gift for 937 rs,Gifts & Donations
purchase of laptop - 5773,Shopping
broadband payment cost 4829,Utilities
just got gym membership for 255 rs,Personal Care
"paid for contribution to fundraiser, amount was 602",Gifts & Donations
bought coursera specialization for 2964,Education
gift for anniversary cost 704,Gifts & Donations
paid 134 inr for donation to charity,Gifts & Donations
monthly gym membership payment of 688,Personal Care
monthly pet food payment of 327,Others
uber ride 14131 inr,Transport
recharged my restaurant meal with 863,Food
recharged my skincare products with 1911,Shopping
train ticket 10042 rupees,Transport
purchase of salon visit - 412,Personal Care
monthly office stationery payment of 179,Others
"paid for birthday gift, amount was 321",Gifts & Donations
"paid for gift for anniversary, amount was 770",Gifts & Donations
paid 488 rupees for wedding present,Gifts & Donations
bought lab test for 1157 rs,Health
purchase of mobile phone - 12444,Shopping
bought tuition payment for 14623 rs,Education
spent 994 on ice cream,Food
recharged my cosmetics with 318,Personal Care
spent 616 on contribution to fundraiser,Gifts & Donations
purchase of sunglasses - 4487,Shopping
fruits cost 913,Food
monthly soap payment of 562,Personal Care
paid 992 inr for laundry,Others
bought water bill for 5320 inr,Utilities
recharged my contribution to fundraiser with 999,Gifts & Donations
coffee 287 rs,Food
monthly udemy course payment of 7188,Education
purchase of contribution to fundraiser - 371,Gifts & Donations
just got contribution to fundraiser for 801 rs,Gifts & Donations
purchase of online course fee - 7623,Education
"paid for amusement park entry, amount was 869",Entertainment
just got movie tickets for 611 rs,Entertainment
"paid for concert tickets, amount was 591",Entertainment
online course fee cost 10930,Education
"paid for Netflix subscription, amount was 663",Entertainment
spent 330 on online course fee,Education
bought amusement park entry for 787 rs,Entertainment
just got flight ticket for 14791,Transport
recharged my mobile phone with 7712,Shopping
purchase of bowling with friends - 975,Entertainment
bought mobile phone for 7849 rs,Shopping
office stationery 902,Others
just got dinner with friends for 631 rupees,Food
"paid for school fees, amount was 7737",Education
taxi fare 6950 rupees,Transport
paid 710 inr for salon visit,Personal Care
spent 2004 on metro card recharge,Transport
bought donation to charity for 273 inr,Gifts & Donations
bought restaurant meal for 699,Food
paid 706 rs for contribution to fundraiser,Gifts & Donations
purchase of gas cylinder - 9880,Utilities
purchase of skincare products - 10678,Shopping
just got repair for 196 rs,Others
skincare products cost 1838,Shopping
purchase of printing for work - 65,Others
purchase of textbooks - 12239,Education
bought pastries for 127 inr,Food
contribution to fundraiser 85 rupees,Gifts & Donations
restaurant meal cost 733,Food
metro card recharge 9634 rupees,Transport
vitamins 3973 inr,Health
purchase of parking fee - 6547,Transport
recharged my phone recharge with 2418,Utilities
soap cost 180,Personal Care
headphones 6467 inr,Shopping
spent 690 on birthday gift,Gifts & Donations
just got cosmetics for 488 rs,Personal Care
spent 642 on soap,Personal Care
breakfast 855 inr,Food
concert tickets cost 932,Entertainment
purchase of office stationery - 234,Others
monthly electricity bill payment of 8623,Utilities
recharged my house rent with 2458,Utilities
bought taxi fare for 8147 inr,Transport
paid 2144 for vitamins,Health
purchase of wedding present - 414,Gifts & Donations
car service 7869 rupees,Transport
recharged my gift for anniversary with 290,Gifts & Donations
gift for anniversary 431 rupees,Gifts & Donations
recharged my health insurance premium with 321,Health
"paid for watch, amount was 1333",Shopping
"paid for pet food, amount was 664",Others
spent 401 on sports match ticket,Entertainment
just got internet bill for 7510,Utilities
just got office stationery for 850 rupees,Others
purchase of mobile phone - 12707,Shopping
"paid for hospital bill, amount was 3986",Health
contribution to fundraiser cost 264,Gifts & Donations
recharged my snacks with 959,Food
"paid for photocopy, amount was 286",Others
spent 3868 on medicines,Health
bought doctor's visit fee for 2622,Health
just got laptop for 13258 rs,Shopping
paid 552 inr for soap,Personal Care
recharged my soap with 503,Personal Care
purchase of tuition payment - 3295,Education
purchase of Spotify premium - 194,Entertainment
recharged my uber ride with 9105,Transport
bought cosmetics for 793,Personal Care
spent 618 on Spotify premium,Entertainment
bought laptop for 12879 inr,Shopping
spent 1539 on train ticket,Transport
bought bowling with friends for 868,Entertainment
gift for anniversary cost 172,Gifts & Donations
recharged my exam fee with 6808,Education
taxi fare 13727 rs,Transport
monthly salon visit payment of 840,Personal Care
gas cylinder cost 11787,Utilities
bought new shirt for 1367,Shopping
"paid for pastries, amount was 878",Food
monthly fruits payment of 345,Food
just got shampoo for 649 inr,Personal Care
just got jeans for 6991 inr,Shopping
donation to charity 415 rupees,Gifts & Donations
